"You paid by domestic ATM card via OnePay payment gateway successfully.","You paid by domestic ATM card via OnePay payment gateway successfully."
"Pay by OnePay payment gateway failed, %1","Pay by OnePay payment gateway failed, %1"
"Pay by OnePay payment gateway failed.","Pay by OnePay payment gateway failed."
"Bank Declined.","Bank Declined."
"Merchant no longer exist.","Merchant no longer exist."
"Invalid access code.","Invalid access code."
"Invalid amount.","Invalid amount."
"Invalid currency code.","Invalid currency code."
"Unspecified Failure.","Unspecified Failure."
"Invalid card Number.","Invalid card Number."
"Invalid card name.","Invalid card name."
"Expired Card.","Expired Card."
"Card Not Registered Service Internet Banking.","Card Not Registered Service Internet Banking."
"Invalid card date.","Invalid card date."
"Exist Amount.","Exist Amount."
"Insufficient fund.","Insufficient fund."
"Invalid card info.","Invalid card info."
"Invalid OTP.","Invalid OTP."
"Transaction timeout.","Transaction timeout."
"User canceled transaction.","User canceled transaction."
"Transaction was failed.","Transaction was failed."
"Order ID no longer exist.","Order ID no longer exist."
"Retrieve the payment URL successfully.","Retrieve the payment URL successfully."
"OnePAY Payment Gateway","OnePAY Payment Gateway"
"You paid by International Card via OnePay payment gateway successfully.","You paid by International Card via OnePay payment gateway successfully."
"Transaction status is unknown.","Transaction status is unknown."
"Issuer Bank declined the transaction. Please contact Issuer Bank.","Issuer Bank declined the transaction. Please contact Issuer Bank."
"Bank Declined Transaction.","Bank Declined Transaction."
"Issuer Bank declined the transaction.","Issuer Bank declined the transaction."
"Your card is expired.","Your card is expired."
"Your credit account is insufficient funds.","Your credit account is insufficient funds."
"Error from Issuer Bank.","Error from Issuer Bank."
"Error when processing transaction.","Error when processing transaction."
"Issuer Bank does not support E-commerce transaction.","Issuer Bank does not support E-commerce transaction."
"Cannot authenticated by 3D-Secure Program. Please contact Issuer Bank.","Cannot authenticated by 3D-Secure Program. Please contact Issuer Bank."
"Wrong CSC entered or Issuer Bank declined the transaction. Please contact Issuer Bank.","Wrong CSC entered or Issuer Bank declined the transaction. Please contact Issuer Bank."
"3D Secure Authentication Failed.","3D Secure Authentication Failed."
"You need to have the domestic card information and Internet Banking account.","You need to have the domestic card information and Internet Banking account."
"The banks list accepted.","The banks list accepted."
"Billing Address:","Billing Address:"
"Place Order","Place Order"
"The credit and debit cards accepted.","The credit and debit cards accepted."
"OnePay Payment Gateway","OnePay Payment Gateway"
"OnePay Domestic ATM Card","OnePay Domestic ATM Card"
Enabled,Enabled
"New Order Status","New Order Status"
"Sort Order","Sort Order"
Title,Title
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Payment URL","Payment URL"
MerchantID,MerchantID
"Access Code","Access Code"
"Hash Code","Hash Code"
"OnePay International Card (Visa, MasterCard)","OnePay International Card (Visa, MasterCard)"
